DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOSSAS,COLOBANE,ARALDE DIABEL,1,130,SALLE DE CLASSE CI ECOLE
GOSSAS,COLOBANE,BALOL ELIMANE DIAW,1,163,SALLE DE CLASSE CE 1 ECOLE
GOSSAS,COLOBANE,BANE,1,214,SALLE DE CLASSE CP ECOLE
GOSSAS,COLOBANE,BENE OUOLOF,1,288,SALLE DE CLASSE CE1 ECOLE
GOSSAS,COLOBANE,BOUSTANE DIAO,1,416,SALLE DE CLASSE CI ECOLE
GOSSAS,COLOBANE,COLOBANE,1,527,SALLE DE CLASSE CE 1 A ECOLE
GOSSAS,COLOBANE,COLOBANE,2,526,SALLE DE CLASSE CE 1 B ECOLE
GOSSAS,COLOBANE,COLOBANE,3,528,SALLE DE CLASSE CE 2 A ECOLE
GOSSAS,COLOBANE,COLOBANE,4,522,SALLE DE CLASSE CM 1 A ECOLE
GOSSAS,COLOBANE,COLOBANE,5,528,SALLE DE CLASSE CM 2 B ECOLE
GOSSAS,COLOBANE,COLOBANE,6,528,SALLE DE CLASSE CP ECOLE ELEM
GOSSAS,COLOBANE,DAROU NDIAYE,1,354,SALLE DE CLASSE CM 2 ECOLE
GOSSAS,COLOBANE,DIABEL,1,344,SALLE DE CLASSE CE 1 ECOLE
GOSSAS,COLOBANE,EDE,1,216,SALLE DE CLASSE CE 1 ECOLE
GOSSAS,COLOBANE,GAYNA MBAR,1,343,SALLE DE CLASSE CE 1 ECOLE
GOSSAS,COLOBANE,GAYNA MBAR,2,343,SLLE DE CLASSE CM 1 ECOLE
GOSSAS,COLOBANE,KAEL MBOBA,1,265,SALLE DE CLASSE CM2 ECOLE
GOSSAS,COLOBANE,KHARAGAINTH,1,154,SALLE DE CLASSE CP ECOLE
GOSSAS,COLOBANE,KHAYANE,1,290,SALLE DE CLASSE CE1 ECOLE
GOSSAS,COLOBANE,MEDINA MBOBA,1,197,SALLE DE CLASSE CP ECOLE
GOSSAS,COLOBANE,MOURE,1,523,SALLE DE CLASSE CE 2 ECOLE
GOSSAS,COLOBANE,NDAR GOUYE,1,77,SALLE DE CLASSE CE2 ECOLE
GOSSAS,COLOBANE,NDIAYENE,1,345,SALLE DE CLASSE CE 2 ECOLE
GOSSAS,COLOBANE,NGHAYE,1,279,SALLE DE CLASSE CI ECOLE
GOSSAS,COLOBANE,OUROUR,1,109,ABRI PROVISOIRE
GOSSAS,COLOBANE,SALOHE,1,186,ABRI PROVISOIRE
GOSSAS,COLOBANE,SANGARI MBEYE,1,320,SALLE DE CLASSE CE1 ECOLE
GOSSAS,COLOBANE,TECK MAR,1,355,SALLE DE CLASSE CE1 ECOLE
GOSSAS,COLOBANE,TOUBA DIACKSAO,1,356,SALLE DE CLASSE CE 1 ECOLE
