DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,KOLDA,C E M 1,1,502,SALLE 8
KOLDA,KOLDA,C E M 1,2,507,SALLE 6
KOLDA,KOLDA,C E M 1,3,505,SALLE 15
KOLDA,KOLDA,C E M 1,4,502,SALLE 4
KOLDA,KOLDA,C E M 1,5,508,SALLE 2
KOLDA,KOLDA,C E M 1,6,508,SALLE 9
KOLDA,KOLDA,C.E.M2,1,123,SALLE 11
KOLDA,KOLDA,C.E.M2,2,125,SALLE 12
KOLDA,KOLDA,C.E.M2,3,124,SALLE 6
KOLDA,KOLDA,C.E.M2,4,124,SALLE 9
KOLDA,KOLDA,C E M SIKILO OUEST,1,411,SALLE  2 5E D
KOLDA,KOLDA,C E M SIKILO OUEST,2,409,SALLE 4 4E F
KOLDA,KOLDA,C E M SIKILO OUEST,3,411,SALLE 6 3E B
KOLDA,KOLDA,C E M SIKILO OUEST,4,413,SALLE 8 3E D
KOLDA,KOLDA,C E M SIKILO OUEST,5,412,SALLE N°23 OU 3 EG
KOLDA,KOLDA,C E M SIKILO OUEST,6,409,SALLE 25
KOLDA,KOLDA,C E M SIKILO OUEST,7,411,SALLE 27
KOLDA,KOLDA,C E M SIKILO OUEST,8,413,SALLE 29
KOLDA,KOLDA,C E M SIKILO OUEST,9,413,SALLE 16
KOLDA,KOLDA,DOUMASSOU PLATEAU,1,444,CLASSE CM1 B
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,1,545,CLASSE CM1B
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,2,544,CLASSE CE1B
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,3,543,CLASSE CPB
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,4,543,CLASSE CIB
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,5,546,CLASSE CE2A
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,6,542,CLASSE CM2A
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,7,546,CLASSE CE1 A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,1,563,SALLE 6 CM2A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,2,563,SALLE 4 CE2A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,3,565,CLASSE CPA
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,4,563,CLASSE CPB
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,5,562,SALLE DE CLASSE
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,6,562,ECOLE MOUSSA CAMARA CE2 B
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,7,563,ECOLE MOUSSA CAMARA CM2 B
KOLDA,KOLDA,ECOLE CHERIF MACKY AIDARA,1,482,CLASSE CM2B
KOLDA,KOLDA,ECOLE CHERIF MACKY AIDARA,2,481,CLASSE CPA
KOLDA,KOLDA,ECOLE ELEMENTAIRE SIKILO MEDINA CHERIF,1,424,CLASSE CM2 A
KOLDA,KOLDA,ECOLE ELEMENTAIRE SIKILO MEDINA CHERIF,2,421,CLASSE CM2 B
KOLDA,KOLDA,ECOLE ELEMENTAIRE SIKILO MEDINA CHERIF,3,426,CLASSE CM1 A
KOLDA,KOLDA,ECOLE ELEMENTAIRE SINTHIAN IDRISSA,1,431,CLASSE CM2 A
KOLDA,KOLDA,ECOLE GADAPARA,1,581,CLASSE CM1 A
KOLDA,KOLDA,ECOLE GADAPARA,2,581,CLASSE CM1 B
KOLDA,KOLDA,ECOLE GADAPARA,3,580,CLASSE CE1 B
KOLDA,KOLDA,ECOLE GADAPARA,4,583,CLASSE CP B
KOLDA,KOLDA,ECOLE GADAPARA,5,582,CLASSE CI A
KOLDA,KOLDA,ECOLE ILELE,1,526,CLASSE CE1B
KOLDA,KOLDA,ECOLE ILELE,2,533,SALLE 5
KOLDA,KOLDA,ECOLE ILELE,3,522,CLASSE CM2 B
KOLDA,KOLDA,ECOLE ILELE,4,445,CLASSE CM2 A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,1,546,CLASSE CM2A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,2,547,ECOLE CM1A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,3,547,CLASSE CE2A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,4,546,CLASSE CPA
KOLDA,KOLDA,ECOLE JOSEPH BALDE,5,544,CLASSE CIA
KOLDA,KOLDA,ECOLE JOSEPH BALDE,6,545,CLASSE CE 1 A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,7,546,CLASSE CE2 A
KOLDA,KOLDA,ECOLE MALANG SANE,1,388,CLASSE CP B
KOLDA,KOLDA,ECOLE MALANG SANE,2,388,CLASSE CE1 B
KOLDA,KOLDA,ECOLE MATERNELLE,1,566,CLASSE MOYENNE SECTION A
KOLDA,KOLDA,ECOLE MATERNELLE,2,566,CLASSE GRANDE SECTION B
KOLDA,KOLDA,ECOLE MATERNELLE,3,567,CLASSE GRANDE SECTION A
KOLDA,KOLDA,ECOLE NORMALE,1,498,FOYER
KOLDA,KOLDA,ECOLE NORMALE,2,497,SALLE D ATTENTE DIRECTION
KOLDA,KOLDA,ECOLE NORMALE,3,497,BLOC B SALLE D
KOLDA,KOLDA,ECOLE NORMALE,4,495,BAT.A/SALLE SURVEILLANCE
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,1,442,CLASSE CE2A
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,2,441,CLASSE CM2B
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,3,442,CLASSE CPA
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,4,443,CLASSE CE1B
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,5,444,CLASSE CIB
KOLDA,KOLDA,ECOLE SIKILO NORD,1,584,CLASSE CM1A
KOLDA,KOLDA,ECOLE SIKILO NORD,2,583,CLASSE CE1A
KOLDA,KOLDA,ECOLE SIKILO NORD,3,575,CLASSE CM2 B
KOLDA,KOLDA,ECOLE SIKILO NORD,4,126,CLASSE CM2 A
KOLDA,KOLDA,ECOLE YERO TACKO BALDE,1,568,CLASSE CIB
KOLDA,KOLDA,ECOLE YERO TACKO BALDE,2,569,CLASSE CIA
KOLDA,KOLDA,ECOLE YERO TACKO BALDE,3,568,CLASSE CM2A
KOLDA,KOLDA,ECOLE YERO TACKO BALDE,4,566,CLASSE CM2B
KOLDA,KOLDA,ECOLE YERO TACKO BALDE,5,570,CLASSE CM1B
KOLDA,KOLDA,ECOLE YERO TACKO BALDE,6,569,CLASSE CE2B
